"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
55,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Равнинное месторождение","oil","28.00","нефтяное",63.32809,79.52316,"/oil-gas-field/ravninnoye","Ravninnoye"
56,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Вынгапуровское месторождение","oil-gas","26.00","нефтегазовое",63.05247,76.91253,"/oil-gas-field/vyngapurovskoye","Vyngapurovskoye"
57,"Оренбург","Собственник/Инвестор","Сладковско-заречное месторождение","oil","26.00","нефтяное",51.666389,52.828056,"/oil-gas-field/sladovsko-zarechnoe","Sladovsko Zarechnoe"
58,"Кедровый","ООО «Газпромнефть-Восток»","Урманское месторождение","oil","25.25","нефтяное",57.60606,78.41148,"/oil-gas-field/urmanskoye","Urmanskoye"
59,"Оренбург","ООО «Газпромнефть-Оренбург»","Царичанское месторождение","oil-gas-condensate","25.00","нефтегазоконденсатное",52.22275,54.2134,"/oil-gas-field/tsarichanskoye","Tsarichanskoye"
60,"Демьянское","ООО «Газпромнефть-Хантос»","Зимнее месторождение","oil","23.00","нефтяное",59.63929,68.89114,"/oil-gas-field/zimnee","Zimnee"
61,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Западно-Эргинское месторождение","oil","23.00","нефтяное",60.572222,69.030278,"/oil-gas-field/zapadno-erginskoe","Zapadno Erginskoe"
62,"Нягань","ООО «Газпромнефть-Хантос»","Пальяновское месторождение","oil","20.30","нефтяное",61.73412,66.95617,"/oil-gas-field/palyanovskoye","Palyanovskoye"
63,"Тара","ООО «Газпромнефть-Восток»","Крапивинское месторождение Юго-Западная часть","oil","20.00","нефтяное",57.90682,75.53924,"/oil-gas-field/krapivinskoye","Krapivinskoye"
64,"Губкинский","АО «Газпромнефть-Ноябрьскнефтегаз»","Еты-Пуровское месторождение","oil-gas","20.00","нефтегазовое",63.96451,77.56896,"/oil-gas-field/eti-purovskoe","Eti Purovskoe"
65,"Кедровый","ООО «Газпромнефть-Восток»","Арчинское месторождение","oil-gas-condensate","18.22","нефтегазоконденсатное",57.49479,78.46504,"/oil-gas-field/archinskoe","Archinskoe"
66,"Салым","ООО «РН «Уватнефтегаз»","Косухинское месторождение","oil","18.00","нефтяное",58.960556,71.806111,"/oil-gas-field/kosukhinskoe","Kosukhinskoe"
