"id","city","company","name","type","prod"
145,"Ханты-Мансийск","ООО «ЛУКОЙЛ-Западная Сибирь»","Каменный лицензионный участок (восточная часть Красноленинского месторождения)","нефтегазовое",NA
146,"Нягань","АО «РН-Няганьнефтегаз»","Талинское месторождение","нефтяное",NA
147,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Эргинское месторождение","нефтяное",NA
148,"Куюмба","ООО «Славнефть-Красноярскнефтегаз»","Куюмбинское месторождение","нефтяное",NA
149,"Сабетта","ООО ""Арктик СПГ 2""","Салмановское (Утреннее) месторождение","газоконденсатное",NA
150,"Салым","«Салым Петролеум Девелопмент Н.В.»","Западно-Салымское месторождение","нефтяное",NA
151,"Салехард","ООО ""Арктик СПГ 1""","Гыданское месторождение","газоконденсатное",NA
152,"Киренск","ООО «ИНК» (Иркутская нефтяная компания)","Ярактинское месторождение","нефтегазоконденсатное",NA
153,"Атырау","North Caspian Operating Company (NCOC) / Норт Каспиан Оперейтинг Компани Н.В. (НКОК)","Месторождение Кашаган","нефтегазовое",NA
154,"Дудинка","ПАО ""НК ""РОСНЕФТЬ""","Сузунское месторождение","нефтегазовое",NA
155,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Северо-Тарасовское месторождение","нефтегазовое",NA
156,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Тарасовское месторождение","нефтегазовое",NA
157,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Одопту-море (Северный купол)","нефтяное",NA
158,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Катангли месторождение","нефтяное",NA
159,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Набиль месторождение","нефтегазовое",NA
160,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Восточное Даги (Даги) месторождение","нефтегазовое",NA
161,"Ноябрьск","ООО «РН-Пурнефтегаз»","Западно-Пурпейское месторождение","нефтегазовое",NA
162,"Ноябрьск","ООО «РН-Пурнефтегаз»","Восточно-Янгтинское месторождение","нефтегазовое",NA
163,"Ноябрьск","ООО «РН-Пурнефтегаз»","Усть-Харампурское месторождение","нефтяное",NA
164,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Правдинское месторождение","нефтегазовое",NA
165,"Томск","ОАО «Томскгазпром»","Северо-Останинское месторождение","нефтяное",NA
166,"Томск","ОАО «Томскгазпром»","Казанское месторождение","нефтегазовое",NA
167,"Томск","ОАО «Томскгазпром»","Мыльджинское месторождение","нефтегазовое",NA
168,"Томск","ОАО «Томскгазпром»","Болтное месторождение","нефтяное",NA
169,"Томск","АО «Независимая нефтегазовая компания»","Средне-Нюрольское месторождение","нефтегазовое",NA
170,"Томск","АО «Независимая нефтегазовая компания»","Ключевское месторождение","нефтегазовое",NA
171,"Томск","АО «Независимая нефтегазовая компания»","Пуглалымское месторождение","нефтегазовое",NA
172,"Томск","ООО «Газпромнефть-Восток»","Кулгинское месторождение","нефтегазовое",NA
173,"Томск","ООО «Газпромнефть-Восток»","Южно-Табаганское месторождение","нефтегазовое",NA
174,"Томск","ООО «Газпромнефть-Восток»","Лугинецкое месторождение","нефтегазовое",NA
175,"Усть-Кут","ООО «ИНК» (Иркутская нефтяная компания)","Даниловское месторождение","нефтегазовое",NA
176,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Имени Н. К. Байбакова месторождение","нефтяное",NA
177,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Восточно-Сургутское месторождение","нефтяное",NA
178,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Жумажановское месторождение","нефтяное",NA
179,"Сургут","ОАО ""Сургутнефтегаз""","Сурьеганское месторождение","нефтяное",NA
180,"Сургут","ОАО ""Сургутнефтегаз""","Ватлорское месторождение","нефтяное",NA
181,"Сургут","ОАО ""Сургутнефтегаз""","Южно-Ватлорское месторождение","нефтяное",NA
182,"Сургут","ОАО ""Сургутнефтегаз""","Ай-Пимское месторождение","нефтяное",NA
183,"Сургут","ОАО ""Сургутнефтегаз""","Вачимское месторождение","нефтегазовое",NA
184,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Имени Ю. Россихина месторождение","нефтяное",NA
185,"Вилюйск","ПАО «Якутская топливно-энергетическая компания»","Средневилюйское месторождение","газоконденсатное",NA
186,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Барсуковское месторождение","нефтегазовое",NA
187,"Лесосибирск","ПАО ""НК ""РОСНЕФТЬ""","Юрубчено-Тохомское месторождение","нефтегазоконденсатное",NA
188,"Игарка","ПАО ""НК ""РОСНЕФТЬ""","Тагульское месторождение","нефтяное",NA
189,"Томск","АО НК ""РуссНефть""","Гураринское месторождение","нефтегазовое",NA
190,"Томск","АО НК ""РуссНефть""","Федюшкинское месторождение","нефтяное",NA
191,"Томск","АО НК ""РуссНефть""","Верхнесалатское месторождение","нефтяное",NA
192,"Нижневартовск","АО НК ""РуссНефть""","Столбовое месторождение","нефтяное",NA
193,"Нижневартовск","Imperial Energy","Снежное месторождение","нефтегазовое",NA
194,"Сургут","Imperial Energy","Майское месторождение","нефтяное",NA
195,"Нижневартовск","Imperial Energy","Двойное месторождение","нефтяное",NA
196,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Фестивальное месторождение","нефтяное",NA
197,"Нижневартовск","Собственник/Инвестор","Конторовичское (Обское) месторождение","нефтяное",NA
198,"Томск","АО «Томскнефть» ВНК","Тагайское месторождение","нефтяное",NA
199,"Томск","АО «Томскнефть» ВНК","Карайское месторождение","нефтяное",NA
200,"Томск","Собственник/Инвестор","Матюшкинское месторождение","нефтяное",NA
201,"Нижневартовск","Собственник/Инвестор","Хвойное месторождение","нефтяное",NA
202,"Надым","ПАО «НОВАТЭК»","Ярудейское месторождение","нефтегазоконденсатное",NA
203,"Дмитровград","ПАО ""ЛУКОЙЛ""","Аксеновское месторождение","нефтяное",NA
204,"Самара","АО ""Самаранефтегаз""","Семеновское месторождение","газоконденсатное",NA
205,"Бованенково","ООО ""Газпром добыча Надым""","Бованенковское месторождение","нефтегазоконденсатное",NA
206,"Дмитровград","ПАО ""ЛУКОЙЛ""","Красновское месторождение","нефтяное",NA
207,"Дмитровград","ПАО ""ЛУКОЙЛ""","Полтавское месторождение","нефтяное",NA
208,"Сургут","ООО «РН-Юганскнефтегаз»","Малобалыкское месторождение","нефтяное",NA
209,"Новый Уренгой","АО «РОСПАН ИНТЕРНЕШНЛ»","Ново-Уренгойский лицензионный участок","газоконденсатное",NA
210,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Омбинское месторождение","нефтяное",NA
211,"Астрахань","ПАО «Газпром»","Астраханское месторождение","газоконденсатное",NA
212,"Нарьян-Мар","ООО «РН-Северная нефть»","Наульское месторождение","нефтяное",NA
213,"Нарьян-Мар","ООО «РН-Северная нефть»","Лабаганское месторождение","нефтяное",NA
214,"Салым","ПАО АНК «Башнефть»","Соровское месторождение","нефтяное",NA
215,"Горноправдинск","ПАО ""НК ""РОСНЕФТЬ""","Кондинское месторождение","нефтяное",NA
216,"Самара","АО ""Самаранефтегаз""","Западно-Коммунарское месторождение","газонефтяное",NA
217,"Петропавловск-Камчатский","ПАО «Газпром»","Кшукское месторождение","газоконденсатное",NA
218,"Петропавловск-Камчатский","ПАО «Газпром»","Ниже-Квакчинское месторождение","газоконденсатное",NA
219,"Пеледуй","ПАО «Газпром»","Чаяндинское месторождение","нефтегазоконденсатное",NA
220,"Усть-Кут","ПАО «Газпром»","Ковыктинское месторождение","газоконденсатное",NA
221,"Тарко-Сале","ООО ""Газпром добыча Ноябрьск""","Западно-Таркосалинское месторождение","нефтегазоконденсатное",NA
222,"Губкинский","ООО ""Газпром добыча Ноябрьск""","Комсомольское месторождение","нефтегазоконденсатное",NA
223,"Новый Уренгой","ООО ""Газпром добыча Надым""","Ямсовейское месторождение","нефтегазоконденсатное",NA
224,NA,"Eni","Месторождение Zohr","газоконденсатное",NA
225,"Новый Уренгой","ООО ""Газпром добыча Надым""","Юбилейное месторождение","нефтегазоконденсатное",NA
226,"Уренгой","ООО ""Газпром добыча Ямбург""","Заполярное месторождение","нефтегазоконденсатное",NA
227,"Губкинский","ЗАО «Пургаз»","Губкинское месторождение","нефтегазоконденсатное",NA
228,"Нижневартовск","ОАО ""НГК ""Славнефть""","Узунское месторождение","нефтяное",NA
229,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Одопту","нефтяное",NA
230,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Аркутун-Даги","нефтегазоконденсатное",NA
231,"Екатеринбург","ООО ""Газпром добыча Ноябрьск""","Бухаровское месторождение","газоконденсатное",NA
232,"Новый Уренгой","ЗАО «Ямалгазинвест»","Уренгойское месторождение Ямалгазинвест","нефтегазоконденсатное",NA
233,"Новый Уренгой","АО «РОСПАН ИНТЕРНЕШНЛ»","Восточно-Уренгойский лицензионный участок","нефтегазоконденсатное",NA
234,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Чапровское месторождение","нефтяное",NA
235,"Салым","ООО «РН «Уватнефтегаз»","Тямкинское месторождение","нефтяное",NA
236,"Бузулук","АО «Оренбургнефть»","Баклановское меторождение","нефтяное",NA
237,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Южно-Ляминское месторождение","нефтяное",NA
238,NA,"ООО «ЛУКОЙЛ Узбекистан Оперейтинг Компани»","Месторождение Кандым (Кандымское месторождение)","газоконденсатное",NA
239,"Ноябрьск","ООО «ЛУКОЙЛ-Западная Сибирь»","Восточно-Перевальное месторождение","газонефтяное",NA
240,"Бузулук","АО «РИТЭК»","Западно-Бимское месторождение","нефтяное",NA
241,"Оренбург","Собственник/Инвестор","Майорское месторождение","нефтяное",NA
242,"Надым","ПАО «Газпром»","Месторождение Каменномысское-море","газовое",NA
243,"Усинск","ООО ""СК ""РУСВЬЕТПЕТРО""","Северо-Хоседаюское месторождение","нефтяное",NA
244,"Астрахань","ООО ""Каспийская нефтяная компания""","Западно-ракушечное месторождение","нефтяное",NA
245,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение им. Ю.С. Кувыкина","нефтегазоконденсатное",NA
