OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,id,city,company,name,type,prod,type_ru,lat,long,out,name_en,AREA,PERIMETER,CODE,NAME_1,TYPE_1,REG,AREA_1,PERIMETER_1,GLG
66,1,66,1,66,66,Ñàëûì,ÎÎÎ «ÐÍ «Óâàòíåôòåãàç»,Êîñóõèíñêîå ìåñòîðîæäåíèå,oil,18.000000000000000,íåôòÿíîå,58.960555999999997,71.806111000000001,/oil-gas-field/kosukhinskoe,Kosukhinskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
67,1,67,1,67,67,Íèæíåâàðòîâñê,ÎÎÎ «Ãàçïðîìíåôòü-Õàíòîñ»,Ìàëîþãàíñêîå ìåñòîðîæäåíèå,oil,17.300000000000001,íåôòÿíîå,60.183332999999998,75.083332999999996,/oil-gas-field/maloyuganskoe,Maloyuganskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
68,1,68,1,68,68,Ìóðàâëåíêî,ÀÎ «Ãàçïðîìíåôòü-Íîÿáðüñêíåôòåãàç»,Ðîìàíîâñêîå ìåñòîðîæäåíèå,oil,17.100000000000001,íåôòÿíîå,63.839449999999999,73.983300000000000,/oil-gas-field/romanovskoe,Romanovskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
69,1,69,1,69,69,Þæíî-Ñàõàëèíñê,Ýêñîí Íåôòåãàç Ëèìèòåä,Ìåñòîðîæäåíèå ×àéâî,oil-gas-condensate,14.000000000000000,íåôòåãàçîêîíäåíñàòíîå,52.422778000000001,143.449166999999989,/oil-gas-field/chayvo,Chayvo,85860508708.671997070312500,2387620.657999999821186,1322,North Sakhalin Basin,p,1,10059528710210.796875000000000,88017714.201000005006790,SEA
70,1,70,1,70,70,Òàðà,ÀÎ «Òîìñêíåôòü» ÂÍÊ,Èãîëüñêî-Òàëîâîå ìåñòîðîæäåíèå,oil,13.000000000000000,íåôòÿíîå,57.677356000000003,76.293182000000002,/oil-gas-field/igolsko-tall,Igolsko Tall,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,274348615164.579986572265625,7957469.074000000022352,QT
71,1,71,1,71,71,Íèæíåâàðòîâñê,ÎÎÎ «Ãàçïðîìíåôòü-Õàíòîñ»,Þæíîå ìåñòîðîæäåíèå,oil,12.900000000000000,íåôòÿíîå,60.622689999999999,75.982810000000001,/oil-gas-field/yuzhnoe,Yuzhnoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
72,1,72,1,72,72,Ñàðàòîâ,ÎÎÎ «ÍÊ ÃåîÏðîìÍåôòü»,Êëèíöîâñêîå ìåñòîðîæäåíèå,oil,12.000000000000000,íåôòÿíîå,51.658341000000000,49.199351999999998,/oil-gas-field/klintsovsky,Klintsovsky,726370445706.697998046875000,4972426.422000000253320,1015,Volga-Ural Region,p,1,626721419021.604980468750000,19300571.103999998420477,N
73,1,73,1,73,73,Òîáîëüñê,ÎÎÎ «ÐÍ «Óâàòíåôòåãàç»,Ïðîòîçàíîâñêîå ìåñòîðîæäåíèå,oil,12.000000000000000,íåôòÿíîå,58.923613000000003,72.790431999999996,/oil-gas-field/protozanovskoe,Protozanovskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
74,1,74,1,74,74,Ïûòü-ßõ,ÎÎÎ «ÐÍ-Þãàíñêíåôòåãàç»,Ìåñòîðîæäåíèå èì. Ìîñêîâöåâà,oil,11.000000000000000,íåôòÿíîå,60.060833000000002,72.731388999999993,/oil-gas-field/moscovets,Moscovets,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
75,1,75,1,75,75,Òîìñê,ÀÎ ÍÊ ""ÐóññÍåôòü"",Þæíî-Ìûëüäæèíñêîå ìåñòîðîæäåíèå,oil,10.500000000000000,íåôòÿíîå,58.522568000000000,78.138026999999994,/oil-gas-field/yuzhno-myldzhinskoe,Yuzhno Myldzhinskoe,2285549626238.638183593750000,7942933.641999999992549,1174,West Siberian Basin,p,1,1991093993625.498046875000000,45775025.710000000894070,Pg
76,1,76,1,76,76,Èðêóòñê,ÀÎ «ÈÍÊ-Çàïàä»,È÷åäèíñêîå ìåñòîðîæäåíèå,oil,10.000000000000000,íåôòÿíîå,57.874229000000000,105.786804000000004,/oil-gas-field/ichedinskoe,Ichedinskoe,360115965584.392028808593750,3295676.089999999850988,1210,Nepa-Botuoba Arch,p,1,130081261281.199005126953125,6486465.122999999672174,O
77,1,77,1,77,77,Óñèíñê,ÎÎÎ ""Åíèñåé"",Çàïàäíî-Ñûíàòûñêîå ìåñòîðîæäåíèå,oil-gas,9.000000000000000,íåôòåãàçîâîå,66.321240000000003,57.227097000000001,/oil-gas-field/west-synat,West Synat,450939701379.052001953125000,3262746.402999999932945,1008,Timan-Pechora Basin,p,1,34088606601.536998748779297,2475141.949000000022352,J
